id,label,category,emotion_sensitivity,emotion_multiplier_band,emotion_tags
wake_up,Wake Up,basic_needs,,,"discipline_building, routine"
snooze_alarm,Snooze Alarm,basic_needs,,,"comfort, discipline_building, escape, restorative, routine"
get_out_of_bed,Get Out of Bed,basic_needs,,,"achievement, discipline_building, routine"
make_bed,Make Bed,basic_needs,,,"achievement, administrative, discipline_building, domestic, routine"
open_blinds,Open Blinds,basic_needs,,,"comfort, escape, restorative, routine"
open_window,Open Window,basic_needs,,,"comfort, escape, health_support, restorative, routine"
drink_water,Drink Water,basic_needs,,,"escape, health_support, routine"
use_bathroom,Use Bathroom,basic_needs,,,"comfort, escape, hygiene, restorative, routine"
wash_hands,Wash Hands,basic_needs,,,"comfort, health_support, hygiene, routine"
brush_teeth,Brush Teeth,basic_needs,,,"achievement, comfort, discipline_building, health_support, hygiene, routine"
floss,Floss,basic_needs,,,"achievement, comfort, discipline_building, health_support, hygiene, routine"
use_mouthwash,Use Mouthwash,basic_needs,,,"comfort, health_support, hygiene, routine"
take_shower,Take Shower,basic_needs,,,"comfort, escape, health_support, hygiene, restorative, routine"
bathe,Bathe,basic_needs,,,"comfort, escape, health_support, hygiene, restorative, routine"
wash_hair,Wash Hair,basic_needs,,,"comfort, health_support, hygiene, identity, routine"
dry_off,Dry Off,basic_needs,,,"comfort, escape, hygiene, restorative, routine"
apply_deodorant,Apply Deodorant,basic_needs,,,"comfort, hygiene, identity, routine"
comb_hair,Comb Hair,basic_needs,,,"comfort, creative, hygiene, identity, routine"
shave,Shave,basic_needs,,,"comfort, creative, hygiene, identity, routine"
do_skincare,Do Skincare,basic_needs,,,"care, comfort, health_support, hygiene, identity, routine"
change_clothes,Change Clothes,basic_needs,,,"creative, domestic, hygiene, identity, routine"
choose_outfit,Choose Outfit,basic_needs,,,"creative, identity, routine"
put_on_shoes,Put On Shoes,basic_needs,,,"administrative, routine"
take_medication,Take Medication,basic_needs,,,"health_support, routine"
take_vitamins,Take Vitamins,basic_needs,,,"health_support, routine"
stretch_in_morning,Stretch in Morning,basic_needs,,,"health_support, restorative, routine"
check_weather,Check Weather,basic_needs,,,"administrative, routine"
pack_bag,Pack Bag,basic_needs,,,"achievement, administrative, discipline_building, domestic, routine"
set_alarm,Set Alarm,basic_needs,,,"achievement, administrative, discipline_building, routine"
go_to_sleep,Go to Sleep,basic_needs,,,"health_support, restorative, routine"
eat_breakfast,Eat Breakfast,food_cooking,,,"health_support, routine"
eat_lunch,Eat Lunch,food_cooking,,,"health_support, routine"
eat_dinner,Eat Dinner,food_cooking,,,"care, comfort, escape, restorative, routine, social"
eat_snack,Eat Snack,food_cooking,,,"comfort, escape, restorative, routine, stimulation"
brew_coffee,Brew Coffee,food_cooking,,,"comfort, escape, health_support, restorative, routine, stimulation"
brew_tea,Brew Tea,food_cooking,,,"comfort, escape, health_support, restorative, routine"
fill_water_bottle,Fill Water Bottle,food_cooking,,,"administrative, health_support, routine"
plan_meal,Plan Meal,food_cooking,,,"achievement, administrative, discipline_building, domestic, health_support, routine"
make_grocery_list,Make Grocery List,food_cooking,,,"achievement, administrative, discipline_building, domestic, routine"
go_grocery_shopping,Go Grocery Shopping,food_cooking,,,"administrative, mobility, routine"
compare_prices,Compare Prices,food_cooking,,,"administrative, financial, mobility, routine"
use_coupon,Use Coupon,food_cooking,,,"administrative, financial, mobility, routine"
wash_produce,Wash Produce,food_cooking,,,"achievement, discipline_building, health_support, hygiene, routine"
chop_ingredients,Chop Ingredients,food_cooking,,,"achievement, discipline_building, learning, routine"
cook_breakfast,Cook Breakfast,food_cooking,,,"achievement, learning, routine"
